               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090449,            0.040412,            0.091646,            0.002438,             0.40202,            0.009653,           0.0032541,            0.058932,            0.019001,            0.076856,            0.070698,           0.0032558,           0.0032558
                   1,            0.065813,            0.041716,            0.082616,           0.0049019,             0.50191,            0.022532,           0.0053546,            0.065304,            0.015647,            0.071035,            0.040632,           0.0065239,           0.0065239
                   2,            0.057852,            0.037002,             0.07468,             0.95938,             0.02291,            0.030655,            0.013725,            0.056699,            0.014915,            0.066683,            0.010501,            0.009726,            0.009726
                   3,            0.058134,            0.038688,            0.071514,              0.7787,            0.058584,            0.067223,             0.02648,             0.04606,            0.015419,            0.060571,            0.009703,            0.009703,            0.009703
                   4,            0.053756,            0.038674,            0.069349,             0.95036,            0.033208,            0.062902,            0.032856,             0.04583,            0.017147,            0.058571,            0.009703,            0.009703,            0.009703
                   5,              0.0502,            0.037244,            0.066921,             0.75347,            0.077945,            0.061455,            0.028579,            0.049099,            0.013453,            0.060536,            0.009604,            0.009604,            0.009604
                   6,            0.050383,            0.036025,            0.064113,             0.67182,              0.0804,            0.081683,            0.030561,            0.049184,            0.013858,            0.055708,            0.009505,            0.009505,            0.009505
                   7,            0.049387,            0.036708,            0.065739,             0.79886,             0.10187,              0.1301,            0.064795,            0.040353,            0.016757,            0.053972,            0.009406,            0.009406,            0.009406
                   8,            0.047515,            0.036794,            0.062178,             0.69705,            0.088496,             0.10521,            0.045236,            0.047645,            0.014372,            0.053854,            0.009307,            0.009307,            0.009307
                   9,            0.049849,            0.038158,            0.058653,             0.70298,             0.13992,             0.15253,            0.072689,            0.040574,            0.013469,            0.052448,            0.009208,            0.009208,            0.009208
                  10,            0.048494,             0.03837,            0.060405,             0.57649,             0.13055,             0.14107,             0.06548,            0.045216,            0.013431,            0.051918,            0.009109,            0.009109,            0.009109
                  11,            0.047553,            0.035456,            0.056628,             0.50089,             0.25371,              0.1617,             0.07998,            0.041165,            0.013332,            0.048202,             0.00901,             0.00901,             0.00901
                  12,            0.046632,             0.03736,            0.057322,             0.61912,             0.23991,             0.19536,            0.087014,            0.042066,            0.013204,            0.049632,            0.008911,            0.008911,            0.008911
                  13,            0.047332,             0.03626,            0.053275,             0.59219,             0.21687,             0.19188,            0.097169,            0.040067,            0.014161,            0.046391,            0.008812,            0.008812,            0.008812
                  14,            0.045648,            0.035372,            0.053686,              0.6033,             0.16794,             0.16986,            0.086609,            0.043239,            0.013629,            0.047786,            0.008713,            0.008713,            0.008713
                  15,            0.046234,            0.036192,            0.055797,             0.58611,             0.18205,             0.14636,            0.064745,            0.043586,            0.013691,            0.050101,            0.008614,            0.008614,            0.008614
                  16,            0.045586,            0.037203,             0.05156,             0.62374,             0.21389,             0.20213,            0.094491,            0.043654,            0.013398,             0.04897,            0.008515,            0.008515,            0.008515
                  17,            0.045773,             0.03474,            0.053946,             0.55717,             0.24154,             0.18324,            0.077153,             0.04554,            0.014117,            0.048384,            0.008416,            0.008416,            0.008416
                  18,            0.044561,            0.035533,            0.057019,             0.47147,             0.19959,             0.12054,            0.050408,            0.053845,            0.013547,            0.056009,            0.008317,            0.008317,            0.008317
                  19,            0.044594,            0.036566,            0.053246,             0.58579,             0.19206,             0.17842,            0.082192,             0.04492,            0.012428,             0.04268,            0.008218,            0.008218,            0.008218
                  20,            0.045577,            0.034585,            0.051333,             0.62029,             0.23419,             0.26442,             0.12627,            0.046771,            0.012531,            0.043071,            0.008119,            0.008119,            0.008119
                  21,            0.043866,            0.037024,            0.051563,             0.61705,             0.23239,              0.2519,             0.11656,            0.043579,            0.012262,            0.041414,             0.00802,             0.00802,             0.00802
                  22,            0.046028,            0.036777,            0.053502,              0.6643,             0.23402,             0.25712,             0.12713,            0.043483,             0.01254,            0.046155,            0.007921,            0.007921,            0.007921
                  23,            0.044049,            0.035679,            0.051389,             0.59624,              0.2531,             0.21755,             0.10722,            0.041881,            0.012957,            0.044994,            0.007822,            0.007822,            0.007822
                  24,            0.044944,            0.036576,            0.049875,             0.69055,             0.23067,             0.25694,             0.12017,            0.043392,            0.013047,            0.044858,            0.007723,            0.007723,            0.007723
                  25,            0.044551,            0.034147,            0.048153,             0.65497,             0.20906,             0.23181,              0.1159,            0.046804,            0.012135,            0.041844,            0.007624,            0.007624,            0.007624
                  26,            0.042489,            0.034009,            0.048068,             0.73133,             0.23667,             0.25727,             0.13695,            0.038819,            0.012512,            0.041377,            0.007525,            0.007525,            0.007525
                  27,            0.045763,            0.033254,            0.048182,             0.60074,             0.27564,             0.27233,              0.1274,            0.041156,            0.012523,            0.039259,            0.007426,            0.007426,            0.007426
                  28,            0.042533,            0.033584,            0.049544,             0.63736,             0.32691,             0.32008,             0.16085,             0.03716,            0.012329,            0.043536,            0.007327,            0.007327,            0.007327
                  29,             0.04301,            0.034831,            0.048487,             0.77649,             0.18991,             0.25391,             0.11733,            0.041173,            0.013084,            0.041197,            0.007228,            0.007228,            0.007228
                  30,            0.044414,            0.034556,            0.046397,             0.64673,             0.26806,              0.2989,             0.13186,            0.044906,            0.012125,            0.039341,            0.007129,            0.007129,            0.007129
                  31,            0.043306,            0.034275,            0.048497,             0.58685,             0.26567,             0.27247,             0.13283,            0.042553,            0.012743,            0.038504,             0.00703,             0.00703,             0.00703
                  32,            0.042371,            0.032248,            0.043079,              0.7114,             0.28171,             0.35059,             0.16938,            0.038974,            0.011712,            0.037675,            0.006931,            0.006931,            0.006931
                  33,            0.044871,            0.034154,             0.04688,             0.53471,             0.32888,             0.31688,             0.15291,            0.040396,            0.012031,            0.039379,            0.006832,            0.006832,            0.006832
                  34,            0.042896,             0.03612,            0.043232,             0.71263,             0.27152,             0.31916,             0.15548,            0.041644,            0.011847,            0.037994,            0.006733,            0.006733,            0.006733
                  35,            0.044714,             0.03348,            0.046907,              0.6287,             0.25395,             0.26971,             0.14334,            0.041104,            0.013341,            0.037438,            0.006634,            0.006634,            0.006634
                  36,            0.042551,            0.033197,            0.045515,             0.61223,             0.25784,              0.3099,             0.15156,            0.043603,            0.012384,            0.036898,            0.006535,            0.006535,            0.006535
                  37,            0.040927,            0.033012,            0.044142,             0.61527,             0.31009,             0.34734,             0.17097,            0.039364,            0.012573,            0.038184,            0.006436,            0.006436,            0.006436
                  38,            0.040815,            0.035271,            0.046622,             0.59304,             0.30619,              0.3339,             0.14603,            0.045798,            0.013197,            0.035942,            0.006337,            0.006337,            0.006337
                  39,            0.042337,            0.033382,             0.04496,             0.53257,             0.31955,             0.36576,             0.18142,            0.042621,            0.012612,            0.036839,            0.006238,            0.006238,            0.006238
                  40,            0.041062,            0.034276,            0.042393,             0.66701,             0.30709,             0.37584,             0.16708,            0.042839,            0.011997,            0.034325,            0.006139,            0.006139,            0.006139
                  41,             0.04231,            0.032868,            0.044439,             0.43467,             0.41645,             0.34879,             0.15156,            0.045086,            0.012159,            0.036635,             0.00604,             0.00604,             0.00604
                  42,            0.040441,            0.032392,            0.041327,             0.64468,             0.32713,             0.34311,             0.16049,             0.04135,            0.012496,            0.035195,            0.005941,            0.005941,            0.005941
                  43,            0.041355,            0.033697,            0.042875,             0.58845,             0.34392,             0.34122,             0.14989,             0.04412,            0.012652,            0.035101,            0.005842,            0.005842,            0.005842
